,G124-1,△,"■操作手順
1.スキップリンク「メインコンテンツへスキップ」を押下した後、Ctrl＋下矢印キーまたはTabキーを押下。
2.「検索ボックスへスキップ」を押下した後、Ctrl＋下矢印キーまたはTabキーを押下
3.「検索ボックスへスキップ」を押下した後、Ctrl＋下矢印キーまたはTabキーを押下

■音声読み上げ（Ctrl＋下矢印キーの場合：○）
1. 「メインコンテンツへスキップ」
Enterキー
「アクセシビリティを考える会」
Ctrl＋下矢印キー
「これは・・・」

2.「検索ボックスへスキップ」
Enterキー
「検索」
Ctrl＋下矢印キー
「検索　のエディット　文字入力」

3.「メインメニューへスキップ」
Enterキー
「ホーム　たてぼう」
Ctrl＋下矢印キー
「このサイトについて　リンク」","■音声読み上げ（Tabキーの場合：×）
1. 「メインコンテンツへスキップ」
Enterキー
「アクセシビリティを考える会」
Tabキー
「メインコンテンツへスキップ」

2.「検索ボックスへスキップ」
Enterキー
「検索」
Tabキー
「メインコンテンツへスキップ」

3.「メインメニューへスキップ」
Enterキー
「ホーム　たてぼう」
Tabキー
「メインコンテンツへスキップ」",,,,,,,
,G124-2,△,"■操作手順
1.スキップリンク「メインコンテンツへスキップ」を押下した後、Ctrl＋下矢印キーまたはTabキーを押下。
2.「検索ボックスへスキップ」を押下した後、Ctrl＋下矢印キーまたはTabキーを押下
3.「検索ボックスへスキップ」を押下した後、Ctrl＋下矢印キーまたはTabキーを押下

■音声読み上げ（Ctrl＋下矢印キーの場合：○）
1. 「メインコンテンツへスキップ」
Enterキー
「アクセシビリティを考える会」
Ctrl＋下矢印キー
「これは・・・」

2.「検索ボックスへスキップ」
Enterキー
「検索」
Ctrl＋下矢印キー
「検索　のエディット　文字入力」

3.「メインメニューへスキップ」
Enterキー
「ホーム　たてぼう」
Ctrl＋下矢印キー
「このサイトについて　リンク」","■音声読み上げ（Tabキーの場合：×）
1. 「メインコンテンツへスキップ」
Enterキー
「アクセシビリティを考える会」
Tabキー
「メインコンテンツへスキップ」

2.「検索ボックスへスキップ」
Enterキー
「検索」
Tabキー
「メインコンテンツへスキップ」

3.「メインメニューへスキップ」
Enterキー
「ホーム　たてぼう」
Tabキー
「メインコンテンツへスキップ」",,,,,,,
,G138,△,"■操作手順
1.「件名」及び「お名前」のテキストフィールドを読み上げる際に、「[必須]」もあわせて読み上げている。
2.マークアップされた「[必須]」が、強調されていることが分かるようには読み上げられていない。
■音声読み上げ（Ctrl＋下矢印キーの場合：△）
Ctrl＋下矢印キー
「件名 必須　コロン」
Ctrl＋下矢印キー
「件名」
Ctrl＋下矢印キー
「必須」
Ctrl＋下矢印キー
「コロン」
Ctrl＋下矢印キー
「件名 必須　コロン　のエディット　文字入力」
","■音声読み上げ（Ctrl＋下矢印キーの場合：△）
Tabキー
「件名 必須　コロン　のエディット　文字入力」
Tabキー
「お名前 必須　コロン　のエディット　文字入力」",,,,,,,
,G187,-,テスト不要,,,,,,,,
,G196-1,○,"■操作手順
Ctrl＋下矢印キーで行読み、またはShiftキーで全文読み

■音声読み上げ
「評価　コロン」
Ctrl＋下矢印キー
「5つ星中星3個　画像」",Shiftキーの全文読みでは「評価　コロン　5つ星中星3個」とだけ読み上げる,,,,,,,
,G196-2,○,"■操作手順
Ctrl＋下矢印キーで行読み、またはShiftキーで全文読み

■音声読み上げ
「対応レベル　コロン」
Ctrl＋下矢印キー
「エー　画像」
Ctrl＋下矢印キー
「エーエー　画像」
Ctrl＋下矢印キー
「アーアーアー　画像」",Shiftキーの全文読みでは「対応レベル　コロン　エー　エーエー　アーアーアー」とだけ読み上げる,,,,,,,
,H2-1,○,"■操作手順
Ctrl＋下矢印キーで行読み、Tabキーで移動、またはShiftキーで全文読み

■音声読み上げ（Ctrl＋下矢印キーで行読み、またはTabキーで移動の場合）
「富士通公開サイト　リンク」",Shiftキーの全文読みでは「富士通公開サイト」とだけ読み上げる,,,,,,,
,H2-2,○,"■操作手順
Ctrl＋下矢印キーで行読み、Tabキーで移動、またはShiftキーで全文読み

■音声読み上げ（Ctrl＋下矢印キーで行読み、またはTabキーで移動の場合）
「富士通株式会社　公式サイト　リンク」",Shiftキーの全文読みでは「富士通株式会社　公式サイト」とだけ読み上げる,,,,,,,
,H4-1,○,"■操作手順
Tabキーで移動

■音声読み上げ（Tabキーの場合）
「夫の姓　のエディット　文字入力」
Tabキー
「夫の名　のエディット　文字入力」
Tabキー
「夫の出身地　のエディット　文字入力」
Tabキー
「妻の姓　のエディット　文字入力」
Tabキー
「妻の名　のエディット　文字入力」
Tabキー
「妻の出身地　のエディット　文字入力」",,,,,,,,
,H4-2,○,"■操作手順
Tabキーで移動

■音声読み上げ
Tabキー
「サイトマップ　のエディット　文字入力」
Tabキー
「検索　のプッシュボタン　確認」
Tabキー
「携帯サイト　リンク」
Tabキー
「サイトマップ  リンク 」",,,,,,,,
,H4-3a,○,"■操作手順
Tabキーで移動

■音声読み上げ
Tabキー
「リンク１　リンク」
Tabキー
「リンク３　リンク」
Tabキーで移動
「リンク２　リンク」
Tabキー
「リンク４リンク」",,,,,,,,
,H4-3b,○,"■操作手順
Tabキーで移動

■音声読み上げ
Tabキー
「リンク 1　リンク」
Tabキー
「リンク2　リンク」
Tabキー
「リンク 21　リンク」
Tabキー
「リンク 3　リンク」
Tabキー
「リンク 20　リンク」",,,,,,,,
,H24,○,"■操作手順
Tabキーで移動、またはCtrl＋下矢印キーで行読み

■音声読み上げ
「S棟ソリューション棟　リンク」
Tabキー、またはCtrl＋下矢印キー
「O棟オフィス棟　リンク」
Tabキー、またはCtrl＋下矢印キー
「C棟共通棟　リンク」",ただし、Ctrl＋下矢印キーの場合はなぜか二巡する,,,,,,,
,H25,○,"■操作手順
リンクでEnterキー押下

■音声読み上げ
「本テスト対象のコードは別ファイルになっています。　リンク」
Enterキー押下でリンク先ページが開く
「ワールドワイドウェブコンソーシアム」",,,,,,,,
