,G138,○,"【1strong要素でマークアップされた「[必須]」が、強調されていることが分かるように、他のテキストとは区別がつくように表示されるか（例：太字で表示される）を確認する。

","【1】○
strong要素でマークアップされた「[必須]」が、強調されていることが分かるように、他のテキストとは区別がつくように表示されることを確認した。

",,,,
,G187,×,"【1】何らかのキー操作により、画像の点滅を静止できるかを確認する。

","【1】○
何らかのキー操作により、画像の点滅を静止できないことを確認した。

",,,,
,G196-1,×,"【1】ブラウザの設定を変更して画像非表示にした際、画像の代わりに代替テキスト「5つ星中、星3個」が表示されるかを確認する。

画像非表示の設定は下記の通り実施
ブラウザ右上のボタン→[コンテンツの設定]→“画像”[すべての画像を表示しない]にチェック

","【1】×
代替テキスト「5つ星中、星3個」が表示されない。

",,,,
,G196-2,×,"【1】ブラウザの設定を変更して画像非表示にした際、それぞれの代替テキスト「A」、「AA」、「AAA」が表示されるか（「AA」と「AAA」では、2つ目以降の画像については何も表示されないか）を確認する。

画像非表示の設定は下記の通り実施
ブラウザ右上のボタン→[コンテンツの設定]→“画像”[すべての画像を表示しない]にチェック

","【1】×
代替テキスト「A」、「AA」、「AAA」が表示されない。

",,,,
,H2-1,○,"【1】ブラウザの設定を変更して画像非表示にした際、アイコン画像が表示されず、代替テキストも表示されないかを確認する。

画像非表示の設定は下記の通り実施
ブラウザ右上のボタン→[コンテンツの設定]→“画像”[すべての画像を表示しない]にチェック

","【1】○
アイコン画像と代替テキストが表示されないことを確認した。

",,,,
,H2-2,×,"【1】ブラウザの設定を変更して画像非表示にした際、アイコン画像の代わりに、代替テキスト「富士通株式会社」が表示されるかを確認する。

画像非表示の設定は下記の通り実施
ブラウザ右上のボタン→[コンテンツの設定]→“画像”[すべての画像を表示しない]にチェック

","【1】×
アイコン画像も代替テキストも表示されないことを確認した。

",,,,
,H4-1,○,"【1】以下のようにフォーカスが移動することを確認する。
「夫の姓」→「夫の名」→「夫の出身地」→「妻の姓」→「妻の名」→「妻の出身地 」

","【1】○
「夫の姓」→「夫の名」→「夫の出身地」→「妻の姓」→「妻の名」→「妻の出身地 」の順でフォーカスが移動することを確認した。

",,,,
,H4-2,○,"【1】以下のようにフォーカスが移動することを確認する。
「テキストフィールド」→「[検索ボタン]」→「携帯サイト」→「サイトマップ」

","【1】○
「テキストフィールド」→「[検索ボタン]」→「携帯サイト」→「サイトマップ」の順でフォーカスが移動することを確認した。

",,,,
,H4-3a,○,"【1】以下のようにフォーカスが移動することを確認する。
「リンク 1」→「リンク 3」→「リンク 2」→「リンク 4」

","【1】○
「リンク 1」→「リンク 3」→「リンク 2」→「リンク 4」の順でフォーカスが移動することを確認した。

",,,,
,H4-3b,○,"【1】以下のようにフォーカスが移動することを確認する。
「リンク 1」→「リンク 2」→「リンク 21」→「リンク 3」→「リンク20」","【1】○
「リンク 1」→「リンク 2」→「リンク 21」→「リンク 3」→「リンク20」の順でフォーカスが移動することを確認した。

",,,,
,H24,×,"【1】ブラウザの設定を画像非表示にした際に、area要素のalt属性に記述した代替テキスト「S棟（ソリューション棟）」及び「O棟（オフィス棟）」及び「C棟（共通棟）」が表示されるかを確認する。

画像非表示の設定は下記の通り実施
ブラウザ右上のボタン→[コンテンツの設定]→“画像”[すべての画像を表示しない]にチェック

","【1】×
代替テキストが表示されないことを確認した。

",,,,
,H25,？,"【1】タイトルバーにページタイトル「ワールドワイドウェブコンソーシアム」が表示されるかを確認する。
","【1】？
タブの幅内に「ワールドワイドウェブコ」までが表示されることを確認した。同タブにマウスを置くと、噴出しに「ワールドワイドウェブコンソーシアム」が表示されることを確認した。

[注記]Chromeにはタイトルバー自体が表示されない。

",,,,
,H30-1,‐,テスト不要,,,,,
,H30-2,×,"【1】ブラウザの設定を変更して画像非表示にした際に、リンク画像の代わりに代替テキストが表示されるかを確認する。

画像非表示の設定は下記の通り実施
ブラウザ右上のボタン→[コンテンツの設定]→“画像”[すべての画像を表示しない]にチェック

","【1】×
リンク画像の代わりに何も表示されないことを確認した。

",,,,
,H30-3,○,"【1】ブラウザの設定を変更して画像非表示にした際に、リンク画像の代わりに何も表示されないかを確認する。

画像非表示の設定は下記の通り実施
ブラウザ右上のボタン→[コンテンツの設定]→“画像”[すべての画像を表示しない]にチェック

","【1】○
代替テキストが表示されず、テキストリンク「東京駅構内の最新のルート」だけが表示されることを確認した。

",,,,
