,H037-1,○,"■操作手順
リンク画像にフォーカスを移動させると、「東京駅構内図を見る、未訪問のリンク」と読み上げた。
■音声読み上げ
「東京駅構内図を見る、未訪問のリンク」
",,,,,,,,,
,H037-2,○,"■操作手順
イメージマップ画像にフォーカスが移動すると、「デパートのフロアガイド。各階について詳しくお知りになりたい場合は各階をクリックしてください。、未訪問のリンク」と読み上げられた。
■音声読み上げ
「デパートのフロアガイド。各階について詳しくお知りになりたい場合は各階をクリックしてください。、未訪問のリンク」
",,,,,,,,,
,H039,○,"■操作手順
・↓で1行ずつ読み上げさせると、「3月6日の週の予定 テーブルタイトル」と読み上げテーブルのタイトルであることがわかる。
・ページ全文読みモードでは、「3月6日の週の予定」とのみ読み上げ、表題であることはわからない。
■音声読み上げ
・「3月6日の週の予定 テーブルタイトル」
・「3月6日の週の予定」",,,,,,,,,
,H042,○,"■操作手順
「↓」キーを押して読み上げさせると「サイト内ナビゲーション  みだし2」、「本日の株式市場  みだし1」、「関連リンク　みだし２」と読み上げられた。
■音声読み上げ
「サイト内ナビゲーション  みだし2」、「本日の株式市場  みだし1」、「関連リンク　みだし２」",,,,,,,,,
,H043,×,"■操作手順
Ctrl＋Tてテーブル読み上げモードにするが、見出しを読み上げない
■音声読み上げ
「R３C2　５％」",,,,,,,,,
,H044-1,○,"■操作手順
テキストフィールドにTabキーでフォーカスを移動すると「お名前のエディット」と読み上げる。
■音声読み上げ
「お名前のエディット」
",キーフォーカスの視覚表現が、エディットに当たったときに消える,,,,,,,,
,H044-2,○,"■操作手順
チェックボックスにTabキーでフォーカスを移動すると「ＨＴＭＬのチェックボックス　チェック」と読み上げる。
■音声読み上げ
「ＨＴＭＬのチェックボックス　チェック」",,,,,,,,,
,H044-3,○,"■操作手順
Taｂキーでラジオボタンを移動させると、それぞれ、「チョコレートタイプのラジオボタン チェックなし」、「クリームたっぷりタイプのラジオボタン チェックなし」、「はちみつがけタイプのラジオボタン チェックなし」と読み上げられた。
■音声読み上げ
「チョコレートタイプのラジオボタン チェックなし」、「クリームたっぷりタイプのラジオボタン チェックなし」、「はちみつがけタイプのラジオボタン チェックなし」
",,,,,,,,,
,H045,×,"■操作手順
1行読みモードで、画像に入ると、「画像  会員数の遷移グラフ」とaltを読み上げるが、longdescへのリンクは提示されない。
■音声読み上げ
「画像  会員数の遷移グラフ」",,,,,,,,,
,H048-1,△,"■操作手順
１.ページ全文読みモード、およびウィンドウの切り替えをしない1行読みモードでは、数字はなしで「ボウルにたまごと牛乳を入れ、混ぜます。　塩とコショウを加えます。」と読み上げる。
２．1行読みモードにして、ウィンドウを切り替えて、再度テストファイルを読み上げさせると、「ボウルにたまごと牛乳を入れ、混ぜます。  リスト項目 2ぶんの1　塩とコショウを加えます。  リスト項目 2ぶんの2」と読み上げられた。
■音声読み上げ
１．「ボウルにたまごと牛乳を入れ、混ぜます。　塩とコショウを加えます。」
２．ウィンドウを切り替えた場合：「ボウルにたまごと牛乳を入れ、混ぜます。  リスト項目 2ぶんの1　塩とコショウを加えます。  リスト項目 2ぶんの2」",,,,,,,,,
