,H002-1,○,"■操作手順
リンクにフォーカスを移動させた際に、アイコン画像の代替テキストは何も読み上げられず、リンクテキスト「富士通公開サイト」だけが読み上げられた。
■音声読み上げ
「富士通公開サイト」",,,,,,
,H002-2,△,"■操作手順
リンクにフォーカスを移動させた際に、アイコン画像の代替テキストとリンクテキストが一緒に「富士通株式会社　公式サイト」と読み上げられた。
■音声読み上げ
「富士通株式会社　公式サイト」","テキスト画面で、全文読み上げでフォーカスが移動した際は、「富士通株式会社　公式サイト」と読み上げた。
しかし、（同テキスト画面で）Tabキーでフォーカスを移動させた際は、「富士通株式会社」と読み上げ、「公式サイト」を読み上げなかったため、△とした。
おそらく、同じリンク（ひとつのリンク）として認識されていないのだと思う。",,,,,
,H004-1,○,"■操作手順
Tabキーを押下すると、次の順序ではフォーカスが移動した。
1.夫の姓 
2.夫の名 
3.夫の出身地 
4.妻の姓 
5.妻の名 
6.妻の出身地 
■音声読み上げ
「夫の姓の　文字入力　夫の名の　文字入力　夫の出身地の　文字入力　妻の姓の　文字入力　妻の名の　文字入力　妻の出身地の　文字入力」",ただし、tabキーで移動しないときの読み上げ順序は、通常のテーブルの読み上げ順である。,,,,,
,H004-2,×,"■操作手順
Tabキーを押下し、次の順序でフォーカスが移動しなかった。
    1. テキストフィールド 
    2. [検索ボタン] 
    3. ""携帯サイト"" 
    4. ""サイトマップ"" 

■音声読み上げ
「携帯サイト　ページ内リンク」
「サイトマップ　ページ内リンク」
「文字入力　エンター　で　入力」
「検索　確認」",,,,,,
,H004-3a,○,"■操作手順
キーボード操作：Tabキーでフォーカスを移動させると、次の順序で移動して読み上げられた。 
1.リンク 1（1） 
2.リンク 3（1） 
3.リンク 2（2） 
4.リンク 4（2） 
■音声読み上げ
「リンク　イチ　ページ内リンク　リンク　サン　ページ内リンク　リンク　ニ　ページ内リンク　リンク　ヨン　ページ内リンク」",ただし、tabキーで移動しないときの読み上げ順序は、通常のテキストの読み上げ順である。,,,,,
,H004-3b,○,"■操作手順
キーボード操作：Tabキーでフォーカスを移動させると、次の順序で移動して読み上げられた。 
1.リンク 1（1） 
2.リンク 2（1） 
3.リンク 21（1） 
4.リンク 3（1） 
5.リンク 20（1） 
■音声読み上げ
「リンク　イチ　ページ内リンク　リンク　ニ　ページ内リンク　リンク　ニジュウイチ　ページ内リンク　リンク　サン　ページ内リンク　リンク　ニジュウ　ページ内リンク」",tabキーで移動したときもしないときも、同じ読み上げ順である。,,,,,
,H024,○,"■操作手順
area要素（ホットスポット）にフォーカスを移動させた際に、alt属性に記述した代替テキスト「S棟（ソリューション棟）」及び「O棟（オフィス棟）」及び「C棟（共通棟）」を読み上げた。

■音声読み上げ
「S　棟　カッコ　ソリューション棟　カッコトジ　リンク」
「O　棟　カッコ　オフィス棟　カッコトジ　リンク」
「C　棟　カッコ　共通棟　カッコトジ　リンク」",,,,,,
,H025,○,"■操作手順
ブラウザでページを開いた際に、ページタイトル「ワールドワイドウェブコンソーシアム」を読み上げた。

■音声読み上げ
「ワールドワイドウェブコンソーシアム」",,,,,,
,H030-1,○,"■操作手順
リンクにフォーカスを移動させた際に、リンクのラベル「首相官邸ホームページ」を読み上げた。

■音声読み上げ
「首相官邸ホームページ　リンク」",,,,,,
,H030-2,○,"■操作手順
リンクにフォーカスを移動させた際に、「東京駅構内の最新のルート」と読み上げた。
■音声読み上げ
「東京駅構内の最新のルート」","Tabキーでフォーカスを移動させた際は、下記のように読み上げた。
「東京駅構内の最新のルート　リンク」",,,,,
,H030-3,○,"■操作手順
リンクにフォーカスを移動させた際に、リンクテキスト「東京駅構内の最新のルート」だけが読み上げられた。
■音声読み上げ
「東京駅構内の最新のルート」","Tabキーでフォーカスを移動させた際は、下記のように読み上げた。
「東京駅構内の最新のルート　リンク」",,,,,
,H030-4,○,"■操作手順
リンクにフォーカスを移動させた際に、テキストリンクのラベル「首相官邸ホームページ」だけを読み上げた。

■音声読み上げ
「首相官邸ホームページ　リンク」",,,,,,
,H030-5,△,"■操作手順
リンクにフォーカスを移動させた際に、テキストリンクのラベル「施設ご利用の手引き　PDFファイル」と読み上げられた。
■音声読み上げ
「施設ご利用の手引き　PDFファイル」","テキスト画面で、全文読み上げでフォーカスが移動した際は、「施設ご利用の手引き　PDFファイル」と読み上げた。
しかし、（同テキスト画面で）Tabキーでフォーカスを移動させた際は、「施設ご利用の手引き　リンク」と読み上げ、「PDFファイル」を読み上げなかったため、△とした。",,,,,
,H032-1,○,"■操作手順
[申し込む]ボタンを押下すると、フォームが送信された。

■音声読み上げ
「申し込む　確認」",,,,,,
,H032-2,○,"■操作手順
セレクトメニューで選択肢を選んだだけでは何も起こらず、[選択したページへ移動する]ボタンを押下すると選択したページへリダイレクトされた。
■音声読み上げ
「サイト案内　選択　トップページ　（エンターキー）　トップページ　ブログ　チュートリアル　検索　選択　○○○　スペースで検索　（[→]キー）　選択したページへ移動する　確認」",,,,,,
,H033-1,×,"■操作手順
テキストリンクにフォーカスを移動させた際に、リンクのラベル「富士通」に加えて title属性値「富士通株式会社の公式サイト」を読み上げなかった。
又、title属性による補足説明があることを音声で知らせず、何らかのキー操作によりtitle属性値「富士通株式会社の公式サイト」を読み上げなかった。

■音声読み上げ
「富士通　リンク」","■補足
（NetReaderのテキスト画面で）
フォーカスが当たっている状態で、Alt＋F3キー（カーソル位置の情報読み上げ）を押すと、下記のように読み上げた（title属性値を読み上げた）。

「富士通　訪問済みリンク　リンク先は　http://jp.fujitsu.com/　エンターは　リンク先を開く　タイトルは　富士通　株式会社の　公式サイト」",,,,,
,H033-2,×,"■操作手順
リンク「富士通 公開サイト」にフォーカスを移動させた際に、リンクテキスト「富士通 公開サイト」とともにtitle属性値「新しいウィンドウで開く」が読み上げられなかった。
また、title属性値による補足説明があることが分かるように読み上げられなかった。  
■音声読み上げ
「富士通 公開サイト　おわり　テキストエンド」",,,,,,
,H035,×,"■操作手順
アプレットの代わりに、alt属性「三目並べゲーム(alt属性値)」又はapplet要素のボディに記述した代替テキスト「三目並べゲーム(applet要素のボディ)」を読み上げなかった。

■音声読み上げ
「空行」",,,,,,
,H036,○,"■操作手順
ボタンにフォーカスを移動させた際に、代替テキスト「送信」を読み上げた。

■音声読み上げ
「送信　確認」",,,,,,
,H037-1,○,"■操作手順
リンク画像にフォーカスを移動させた際に、代替テキスト「東京駅構内図を見る」を読み上げた。

■音声読み上げ
「東京駅構内図を見る　リンク」",,,,,,
,H037-2,○,"■操作手順
イメージマップ画像の代替テキスト「デパートのフロアガイド　マル　各階について詳しくお知りになりたい場合は各階を選択してください　マル　フォーエフ　雑貨 書籍　スリーエフ　衣料品　トゥーエフ　お菓子 その他食品　ワンエフ　生鮮食品」と読み上げられた。 
■音声読み上げ
「デパートのフロアガイド　マル　各階について詳しくお知りになりたい場合は各階を選択してください　マル　フォーエフ　雑貨 書籍　スリーエフ　衣料品　トゥーエフ　お菓子 その他食品　ワンエフ　生鮮食品」",,,,,,
,H039,×,"■操作手順
caption要素で記述した表題「3月6日の週の予定」がデータテーブルの表題であることが分かるように読み上げなかった。
また、[T]キーで次のテーブルで移動した際は、「月曜　火曜　水曜　木曜　金曜　ジュウロク　の　ニ　テーブル　イチ」と読み上げ、caption要素は飛ばした。
■音声読み上げ
「サンガツムイカの週の予定」
「月曜　火曜　水曜　木曜　金曜　ジュウロク　の　ニ　テーブル　イチ」",,,,,,
,H042,○,"■操作手順
見出しとしてマークアップされている「本日の株式市場」(h1)、「サイト内ナビゲーション」(h2)、「関連リンク」(h2)を、それぞれ見出しであることが分かるように読み上げた。

■音声読み上げ
「サイト内ナビゲーション　イチの　イチ　見出し　イチ　レベル　ニ」
「本日の株式市場　ナナの　イチ　見出し　二　レベル　イチ」
「関連リンク　ジュウサンの　イチ　見出し　サン　レベル　二」","■補足
左記の音声読み上げログは、Hキー（次の見出し）でフォーカスを移動させた場合（見出しレベルまで読み上げている）。
また、全文読みでフォーカスが移動した際は、他のテキストよりも若干高い声で読み上げて区別されている（ただし、見出しレベルまでは読み上げていない）。
いずれの場合でも、見出しであることを特定しているので、○とした。",,,,,
,H043,×,"■操作手順
テーブル読み上げ機能がない。
また、[T]キーで次のテーブルで移動した際は、「全国　東京　大阪　ジュウゴ　の　ニ　テーブル　イチ」と読み上げた。
■音声読み上げ
「全国　東京　大阪　男性　女性　合計　男性　女性　合計　ジュウゴ　パーセント　ゴ　パーセント・・・」
「全国　東京　大阪　ジュウゴ　の　ニ　テーブル　イチ」",テーブル読み上げ機能（テーブルモード）はあるが、検証結果は×である。,,,,,
,H044-1,○,"■操作手順
テキストフィールドにフォーカスを移動させた際に、ラベル「お名前」をテキストフィールドと一緒に読み上げた。

■音声読み上げ
「お名前の　文字入力」","■補足
PC-Talkerの音声ガイドの設定で「項目のコントロール名をガイドする」にチェックが入っていると、「お名前の　エディット　文字入力」と読み上げる。",,,,,
,H044-2,○,"■操作手順
チェックボックスにフォーカスを移動させた際に、ラベル「HTML」をチェックボックスと一緒に読み上げた。

■音声読み上げ
「エイチティーエムエル　の　切り替え　チェック　スペースで　切り替え」",,,,,,
,H044-3,○,"■操作手順
ラジオボタンにフォーカスを移動させた際に、ラジオボタンをそれぞれのラベル（「チョコレートタイプ」、「クリームたっぷりタイプ」、「はちみつがけタイプ」）と一緒に読み上げた。

■音声読み上げ
「チョコレートタイプ　ラジオ　イチ」
「クリーム　たっぷりタイプ　ラジオ　二」
「はちみつがけタイプ　ラジオ　サン」",,,,,,
,H045,×,"■操作手順
代替テキスト「会員数の遷移グラフ」が読み上げられたが、longdesc属性で指定しているH45-ref1.htmlへのリンクは読み上げられず、提示もされない。 
■音声読み上げ
「会員数の遷移グラフ」",logndesc属性を読み上げられず、提示もされない。,,,,,
,H048-1,△,"■操作手順
1. リスト項目を読み上げる前に、リスト項目数が幾つあるかが分かるように読み上げず、又、何項目中の何項目めなのかが分かるように読み上げなかった。
2. 各リスト項目の前に数字をそれぞれ読み上げた。

■音声読み上げ
1. （全文読みでフォーカスが移動した場合）「イチ　ピリオド　ボウルにたまごと牛乳を入れ　テン　混ぜます　マル」
（Lキーでフォーカスを移動させた場合）「イチ　ピリオド　ボウルにたまごと牛乳を入れ　テン　混ぜます　マル　ジュウゴの　ヨン　箇条書き　サン　番号付きリスト」
2. 「ニ　ピリオド　塩とコショウを加えます　マル」","■補足

全文読みの場合の読み上げと、Lキー操作の場合の読み上げが異なる。",,,,,
,H048-2,×,"■操作手順
リスト項目を読み上げる前に、リスト項目数が幾つあるかが分かるように読み上げず、又、何項目中の何項目めなのかが分かるように読み上げなかった。

■音声読み上げ
（全文読みでフォーカスが移動した場合）「牛乳　卵　バター」
（Lキーでフォーカスを移動させた場合）「牛乳　ジュウゴノ　ゴ　箇条書き　３　番号なしリスト」","■補足
全文読みの場合の読み上げと、Lキー操作の場合の読み上げが異なる。",,,,,
,H048-3,×,"■操作手順
リスト項目（一組の定義と用語とで1項目）を読み上げる前に、リスト項目数が幾つあるかが分かるように読み上げず（例：「3項目のリスト」）、又、何項目中の何項目めなのかが分かるように読み上げなかった（例：「3項目中の2項目め」）。

■音声読み上げ
（全文読みでフォーカスが移動した場合）「点滅　一秒間に　サン　ナミセン　ゴ回テンいたり消えたりすること　マル」
（Lキーでフォーカスを移動させた場合）「点滅　ジュウゴの　イチ　箇条書き　サン　定義リスト」","■補足

全文読みの場合の読み上げと、Lキー操作の場合の読み上げが異なる。",,,,,
,H049-1,×,"■操作手順
em要素（「本当に」）は強調箇所を示し、strong要素（「素晴らしい」）はさらに強調している箇所であることが分かるように読み上げなかった。

■音声読み上げ
「ピリオド　彼女が本当に言いたかったのは　テン　クォーテーション　これは良いどころではなく　テン　むしろ素晴らしい　クォーテーション　ということだった　感嘆符　ピリオド」",,,,,,
,H049-2,×,"■操作手順
1. cite要素（「わが人生の物語」）が引用元を示すことが分かるように読み上げなかった。
2. blockquote要素（「ここが引用されている･･･」）が引用箇所であることが分かるように読み上げなかった。

■音声読み上げ
「次の文章は　テン　ヘレンケラーのわが人生の物語からの引用です　マル　ここが引用されているブロックです　マル　～」",,,,,,
,H049-3,×,"■操作手順
q要素でマークアップした部分「自己憐憫は･･･でしょう」が引用であることがわかるような形での読み上げはしなかった。
■音声読み上げ
「ヘレン　ナカテン　ケラーは言いました　テン　コーテーション　自己憐憫は私たちの最悪の敵です　マル　もし　テン　それに自らを委ねるなら　テン　私たちは世の中で決して賢明なことができないでしょう　マル　コーテーション」",,,,,,
